date,name,lr,batch_size,epochs,vp_dim,nr,weight_decay,best_acc,fold
2026-06-10 14:03,VPNet_EEG,0.0001,128,200,64,[128],0.0005,0.8234913234913235,0
2026-06-10 14:03,VPNet_EEG,0.0001,128,200,64,[128],0.0005,0.8401892225421638,1
2026-06-10 14:03,No_VPNet,0.0001,128,200,64,[128],0.0005,0.8236208236208237,0
2026-06-10 14:03,No_VPNet,0.0001,128,200,64,[128],0.0005,0.8385438091320444,1
2026-06-10 14:03,No_Residual,0.0001,128,200,64,[128],0.0005,0.7966847966847966,0
2026-06-10 14:03,No_Residual,0.0001,128,200,64,[128],0.0005,0.8107774578362814,1
2026-06-10 14:03,No_Spatial,0.0001,128,200,64,[128],0.0005,0.7942890442890443,0
2026-06-10 14:03,No_Spatial,0.0001,128,200,64,[128],0.0005,0.8137940490881668,1
2026-06-10 14:03,Baseline,0.0001,128,200,64,[128],0.0005,0.4852369852369852,0
2026-06-10 14:03,Baseline,0.0001,128,200,64,[128],0.0005,0.5015082956259427,1
